"lemma","discriminator","is_official","supertype","frame","distribution","pronominal_class","subject","sememe","examples","synonyms","etymology","etymological_notes","definition_type","qtq_definition","qtq_notes","qtq_gloss","eng_definition","eng_notes","eng_gloss","cmn_definition","cmn_notes","cmn_gloss","spa_definition","spa_notes","spa_gloss","fra_definition","fra_notes","fra_gloss","por_definition","por_notes","por_gloss","rus_definition","rus_notes","rus_gloss","deu_definition","deu_notes","deu_gloss","jpn_definition","jpn_notes","jpn_gloss","tgl_definition","tgl_notes","tgl_gloss","tur_definition","tur_notes","tur_gloss","pol_definition","pol_notes","pol_gloss","nld_definition","nld_notes","nld_gloss","bul_definition","bul_notes","bul_gloss","isl_definition","isl_notes","isl_gloss","lou_definition","lou_notes","lou_gloss","epo_definition","epo_notes","epo_gloss","tok_definition","tok_notes","tok_gloss","tlh_definition","tlh_notes","tlh_gloss","ithkuil-iv_definition","ithkuil-iv_notes","ithkuil-iv_gloss","votgil_definition","votgil_notes","votgil_gloss","c_definition","c_gloss","c_notes","jbo_definition","jbo_gloss","jbo_notes","langdata","qpv_definition","qpv_gloss","qpv_notes"
"Afıkaqzu",1,"False",,"c","d","hoq","free",,"[]",,,,"informal",,,,"▯ is the Afrikaans language.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'a6cU0AvKk', 'author': 'jiqci', 'date': '2023-02-14T10:48:18.435Z', 'score': 0})}",,,
"Ageqtına",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ pertains to the culture of Argentina – Argentine Republic.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'ZHutm4XeHYQ1', 'author': 'countries', 'date': '2025-09-21T18:01:04.337Z', 'score': 0})}",,,
"Ageqtınagua",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is the country Argentina – Argentine Republic.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': '8OnjCNk5DUq4', 'author': 'countries', 'date': '2025-09-21T18:01:04.338Z', 'score': 0})}",,,
"Ajıchedam",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is the star sign Sagittarius.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'sPQ0r3W8-', 'author': 'jiqci', 'date': '2024-04-06T20:02:13.816Z', 'score': 0})}",,,
"Akuılagua",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is a stereotypically portrayed USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'xf-Y_w8K_', 'author': 'jiqci', 'date': '2023-05-17T22:13:11.169Z', 'score': 0})}",,,
"Amarazu",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is the Amharic language.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'jXsnQvc1x', 'author': 'eednb', 'date': '2023-12-31T21:49:56.567Z', 'score': 0})}",,,
"Amenıa",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ pertains to the culture of Armenia – Republic of Armenia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'NUffdYWqa7cI', 'author': 'countries', 'date': '2025-09-21T18:01:04.338Z', 'score': 0})}",,,
"Amenıagua",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is the country Armenia – Republic of Armenia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'liRKe3SxA8jJ', 'author': 'countries', 'date': '2025-09-21T18:01:04.338Z', 'score': 0})}",,,
"Amerıka",1,"True","predicate","c","d","maq","individual","budote","[]",,,,"informal",,,,"▯ is America (continent).",,"America",,,,,,,,,,,,,,,,,,,,,,,,,,,,"▯ to Ameryka/Ameryki (kontynent).",,,,,,,,,,,,"▯ çé Lamérik (kontinen).",,"Lamérik",,,,"▯ li ma Amelika (ona li ma suli li jo e ma mute. ona li ma Mewika ala)",,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'official:Amerıka', 'author': 'official', 'date': '', 'score': 0}), 'tok': OrderedDict({'id': 'oXE1buIMO', 'author': 'el', 'date': '2022-10-26T17:59:28.933Z', 'score': 0}), 'pol': OrderedDict({'id': '4lFpXGJWgW', 'author': 'jiqci', 'date': '2023-07-31T08:19:42.387Z', 'score': 0}), 'lou': OrderedDict({'id': 'b9rOX9Pl2', 'author': 'eednb', 'date': '2023-12-04T02:26:46.312Z', 'score': 0})}",,,
"Anaosamızu",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is the Inari Sami language",,"Inari.Sami.language",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'zVX3tzfRI', 'author': 'salarua', 'date': '2023-12-06T21:10:41.810Z', 'score': 0})}",,,
"Anatorıaq",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is Anatolia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'aiUuApOQl', 'author': 'kazoo', 'date': '2025-05-02T18:14:44.943Z', 'score': 0})}",,,
"Aofatoaq",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ pertains to Toaq Alpha.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'kwD7jEGY4', 'author': 'uakci', 'date': '2022-12-07T18:21:25.968Z', 'score': 0})}",,,
"Aotearoa",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ pertains to the culture of New Zealand.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'CYcxVHeAtnH-', 'author': 'countries', 'date': '2025-09-21T18:01:04.398Z', 'score': 0})}",,,
"Aotearoagua",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is the country New Zealand.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'cvcff3dnzMHR', 'author': 'countries', 'date': '2025-09-21T18:01:04.398Z', 'score': 0})}",,,
"Aqdora",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ pertains to the culture of Andorra – Principality of Andorra.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': '3ryuG6TRrteS', 'author': 'countries', 'date': '2025-09-21T18:01:04.335Z', 'score': 0})}",,,
"Aqdoragua",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is the country Andorra – Principality of Andorra.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'uA_48xW0qNUd', 'author': 'countries', 'date': '2025-09-21T18:01:04.335Z', 'score': 0})}",,,
"Aqgola",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ pertains to the culture of Angola – Republic of Angola.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'mW2Q76jwcg0H', 'author': 'countries', 'date': '2025-09-21T18:01:04.336Z', 'score': 0})}",,,
"Aqgolagua",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is the country Angola – Republic of Angola.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'WxJIUEb6cdNb', 'author': 'countries', 'date': '2025-09-21T18:01:04.336Z', 'score': 0})}",,,
"Aqlızu",1,"False",,"c","d","hoq","free",,"[]",,,,"informal",,,,"▯ is Anglish — English without Romance language borrowings.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'I3AWVkHTE', 'author': 'mimiaoganhaqpy', 'date': '2022-09-14T14:56:34.035Z', 'score': 0})}",,,
"Aqtatıka",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is Antarctica.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'QlOsv3Wjx', 'author': 'robintown', 'date': '2022-08-09T11:16:51.556Z', 'score': 0})}",,,
"Aqtıguaroıbabuda",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ pertains to the culture of Antigua and Barbuda.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'wpZ8D4UYx23E', 'author': 'countries', 'date': '2025-09-21T18:01:04.336Z', 'score': 0})}",,,
"Aqtıguaroıbabudagua",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is the country Antigua and Barbuda.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'TCpkSao6h9Nf', 'author': 'countries', 'date': '2025-09-21T18:01:04.337Z', 'score': 0})}",,,
"Arabı",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is Arab / Arabic / related to the Arab world.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'kY8WZOiBt', 'author': 'jiqci', 'date': '2024-11-23T20:28:25.504Z', 'score': 0})}",,,
"Arabızu",1,"False",,"c","d","hoq","free",,"[]",,,,"informal",,,,"▯ is the Arabic language.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': '7eqkfmGPp', 'author': 'mimiaoganhaqpy', 'date': '2022-08-28T19:32:43.104Z', 'score': 0})}",,,
"Areqtına",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ pertains to the culture of Argentina – Argentine Republic[g].",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'gERgkjqUh', 'author': 'Machy', 'date': '2022-04-15T17:14:33.914Z', 'score': 1})}",,,
"Areqtınagua",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is the country Argentina – Argentine Republic[g].",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'N6z0cnh0_', 'author': 'Machy', 'date': '2022-04-15T17:16:06.712Z', 'score': 1})}",,,
"Asua",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ pertains to Abkhaz culture.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'rk_-AREFL', 'author': 'funbreaker', 'date': '2024-03-02T23:07:29.849Z', 'score': 0})}",,,
"Asuazu",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is the Abkhaz language.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'xqB4jd2Fi', 'author': 'funbreaker', 'date': '2024-03-02T23:08:55.356Z', 'score': 0})}",,,
"Asunuım",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is Sirius / the Dog Star.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'kGraXGRIW', 'author': 'jiqci', 'date': '2024-01-28T21:10:39.763Z', 'score': 0})}",,,
"Asıa",1,"True","predicate","c","d","maq","individual","fiwoye","[]",,,,"informal",,,,"▯ is Asia.",,"Asia",,,,,,,,,,,,,,,,,,,,,,,,,,,,"▯ to Azja.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'official:Asıa', 'author': 'official', 'date': '', 'score': 0}), 'pol': OrderedDict({'id': 'OiTW5QOPU', 'author': 'jiqci', 'date': '2023-07-31T08:19:43.068Z', 'score': 0})}",,,
"Atalaqnaomıq",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is the Atlantic Ocean.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'D8Zz5NJ4S', 'author': 'jiqci', 'date': '2023-02-15T16:02:10.462Z', 'score': 0})}",,,
"Azebaı",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ pertains to the culture of Azerbaijan – Republic of Azerbaijan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'dq88SYqaDIbc', 'author': 'countries', 'date': '2025-09-21T18:01:04.341Z', 'score': 0})}",,,
"Azebaıgua",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is the country Azerbaijan – Republic of Azerbaijan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'fQZEa459wYWs', 'author': 'countries', 'date': '2025-09-21T18:01:04.341Z', 'score': 0})}",,,
"Azerı",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is Azeri / Azerbaijani / related to Azerbaijan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': '49iejB4vd', 'author': 'jiqci', 'date': '2025-07-11T09:45:19.364Z', 'score': 0})}",,,
"Azerıgua",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is the country of Azerbaijan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'syNStH6KT', 'author': 'jiqci', 'date': '2025-07-11T09:45:44.700Z', 'score': 0})}",,,
"Azerızu",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is the Azeri / Azerbaijani language.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'PMPXhng5j', 'author': 'jiqci', 'date': '2025-07-11T09:46:10.738Z', 'score': 0})}",,,
"Aımarazu",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is the Aymara language.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'XV912kb6i', 'author': 'funbreaker', 'date': '2024-03-02T20:41:25.277Z', 'score': 0})}",,,
"Aꝡereshozu",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is the Aꝡaereusso language.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'w-h37IoTn', 'author': 'jiqci', 'date': '2023-11-29T20:10:09.258Z', 'score': 0})}",,,
"Babado",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ pertains to the culture of Barbados.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'HWbBtoiT9mIc', 'author': 'countries', 'date': '2025-09-21T18:01:04.343Z', 'score': 0})}",,,
"Babadogua",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is the country Barbados.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'LydsaVDrB--J', 'author': 'countries', 'date': '2025-09-21T18:01:04.344Z', 'score': 0})}",,,
"Bahama",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ pertains to the culture of The Bahamas → Bahamas, The.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'q9SkJpJsturI', 'author': 'countries', 'date': '2025-09-21T18:01:04.341Z', 'score': 0})}",,,
"Bahamagua",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is the country The Bahamas → Bahamas, The.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'tCZkEjnunwpC', 'author': 'countries', 'date': '2025-09-21T18:01:04.341Z', 'score': 0})}",,,
"Bakadam",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is the star sign Taurus.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'LVAcP-3H0', 'author': 'jiqci', 'date': '2024-04-06T19:49:39.034Z', 'score': 0})}",,,
"Bakajıa",1,"False",,"c","d","ta","free",,"[]",,,,"informal",,,,"▯ pertains to the culture of Abkhazia → Abkhazia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'izx-7ykkPfA3', 'author': 'countries', 'date': '2025-09-21T18:01:04.330Z', 'score': 0})}",,,
"Bakajıagua",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is the country Abkhazia → Abkhazia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'vTQ1Yiody37l', 'author': 'countries', 'date': '2025-09-21T18:01:04.332Z', 'score': 0})}",,,
"Bamanazu",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is the Bambara (Bamanankan) language.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'VdxQW9MaH', 'author': 'eednb', 'date': '2023-12-31T21:53:12.897Z', 'score': 0})}",,,
"Banuatu",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ pertains to the culture of Vanuatu – Republic of Vanuatu.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': '9ZEp-s3viW_W', 'author': 'countries', 'date': '2025-09-21T18:01:04.435Z', 'score': 0})}",,,
"Banuatugua",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is the country Vanuatu – Republic of Vanuatu.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'QHKw8vG2caHS', 'author': 'countries', 'date': '2025-09-21T18:01:04.435Z', 'score': 0})}",,,
"Baorusı",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is Belarussian / related to the country of Belarus.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'u67ORuea6', 'author': 'jiqci', 'date': '2025-01-12T13:42:25.977Z', 'score': 0})}",,,
"Baorusıgua",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is the country of Belarus.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'FeUv7e9My', 'author': 'jiqci', 'date': '2025-01-12T13:42:40.006Z', 'score': 0})}",,,
"Baqladeshı",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ pertains to the culture of Bangladesh – People's Republic of Bangladesh.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': '2YcSqZeeCWng', 'author': 'countries', 'date': '2025-09-21T18:01:04.343Z', 'score': 0})}",,,
"Baqladeshıgua",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is the country Bangladesh – People's Republic of Bangladesh.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'yUnSnBcFS0VA', 'author': 'countries', 'date': '2025-09-21T18:01:04.343Z', 'score': 0})}",,,
"Baqlazu",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is the Bengali language.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'ilwEO7j0v', 'author': 'eednb', 'date': '2023-12-31T22:12:52.386Z', 'score': 0})}",,,
